date,stock,dollar,cpi,r,gold,oil
06/1995,2.127859018,-0.625013759,0.197109067,-0.46454545,0.607445096,-6.653890226
07/1995,3.177604406,-0.382808417,0,0.10981818,-0.34317267,-6.725668702
08/1995,-0.032025051,3.173115626,0.262295082,0.21026087,-0.662817492,2.537638006
09/1995,4.009752972,1.514207979,0.196206671,-0.29076087,-0.158990799,1.498841168
10/1995,-0.497938091,-1.960668374,0.326370757,-0.1527381,0.020884457,-3.838957869
11/1995,4.104901118,-0.018944108,-0.065061809,-0.11428571,0.566372605,4.373535737
12/1995,1.74438773,1.181253686,-0.065104167,-0.21897619,0.55280164,7.563970838
01/1996,3.261734288,1.209731352,0.586319218,-0.05911905,3.099834813,-1.292683247
02/1996,0.693374422,0.320813457,0.323834197,0.15311905,1.329327826,-1.532400599
03/1996,0.791655606,0.210883112,0.516462234,0.46307143,-2.112362882,9.792348955
04/1996,1.343144849,1.05935822,0.385356455,0.24279221,-0.848035133,7.362897382
05/1996,2.285338673,0.948249878,0.19193858,0.22545454,-0.234186076,-7.829482732
06/1996,0.225669536,-0.179221256,0.06385696,0.17518182,-1.699283035,-2.041320134
07/1996,-4.574802797,-0.920332354,0.191448628,-0.04654545,-0.467204817,4.287468051
08/1996,1.881396984,-0.941754054,0.191082803,-0.23,1.01181318,4.072692278
09/1996,5.417261001,1.002868881,0.317863954,0.19654545,-1.086872338,10.00841186
10/1996,2.613085798,0.756205566,0.316856781,-0.29836364,-0.540272485,5.27926565
11/1996,7.337615381,-1.208190367,0.189513582,-0.32995215,-0.84498911,-4.311088418
12/1996,-2.150537634,1.968158594,0,0.09869674,-2.342199285,4.964041665
01/1997,6.131706132,2.508658641,0.315258512,0.27666667,-3.764227642,-1.264796368
02/1997,0.592754656,3.975688268,0.314267756,-0.15957394,-2.402072597,-11.67008248
03/1997,-4.26139956,1.185381356,0.250626566,0.27502632,1.509031104,-5.349998002
04/1997,5.840553677,0.733409531,0.125,0.19095455,-2.086353429,-7.586794022
05/1997,5.857688372,-1.032383769,-0.062421973,-0.17450217,-0.182889657,7.982908111
06/1997,4.345263356,0.03950493,0.124921924,-0.21714286,-0.895765472,-7.434021891
07/1997,7.812323474,2.051059851,0.124766064,-0.27335497,-4.889071487,2.281330636
08/1997,-5.744584979,2.742872637,0.186915888,0.07811688,-0.027769207,1.741154232
09/1997,5.315352374,-1.578969944,0.248756219,-0.09,-0.367272615,-0.186144812
10/1997,-3.447766236,-1.34557367,0.248138958,-0.17902598,0.635028809,7.338818329
11/1997,4.458682294,-0.810283151,-0.061881188,-0.15454545,-5.79616462,-4.251709767
12/1997,1.573163073,2.530893746,-0.123839009,-0.06636364,-5.652855836,-10.03772586
01/1998,1.015013963,1.775587229,0.185988841,-0.26413636,0.124679643,-11.7473322
02/1998,7.04492594,-0.504559967,0.185643564,0.03023684,2.902109997,-6.738302742
03/1998,4.994568014,0.378370702,0.185299568,0.07253589,-0.521025917,-6.69641574
04/1998,0.909462219,0.005505391,0.184956843,-0.00965368,4.173143205,3.241461596
05/1998,-1.884382561,-0.753458813,0.184615385,0.01488095,-2.980959486,1.992842234
06/1998,3.943822079,1.301794505,0.122850123,-0.15613636,-2.266800401,-8.267098133
07/1998,-1.161539547,0.42162128,0.122699387,-0.035,0.188149973,0.084308578
08/1998,-14.55736301,0.45943064,0.12254902,-0.11945888,-2.991088196,-2.435304743
09/1998,6.215993233,-4.420000745,0.122399021,-0.53523809,1.714124811,10.38317557
10/1998,8.025170837,-3.628382321,0.244498778,-0.27666667,2.405010727,-3.699579657
11/1998,5.91260342,1.742693445,0,0.29736842,-0.611631129,-10.26430801
12/1998,5.63753083,-0.78612845,-0.06097561,-0.18236842,-0.829593363,-12.36773916
01/1999,4.10094124,-0.071831173,0.244051251,0.07710526,-1.577070762,9.048104889
02/1999,-3.228251696,2.576313764,0.121728545,0.27684211,0.08708374,-5.441980902
03/1999,3.879418249,2.54498523,0.303951368,0.23366133,-0.476803675,22.74578714
04/1999,3.79439819,1.044132626,0.727272727,-0.04806325,-1.167995524,19.51452486
05/1999,-2.497041597,0.462231499,0,0.35495455,-2.186681763,2.152216697
06/1999,5.393904013,1.609075054,0,0.36004545,-5.473158732,1.791687651
07/1999,-3.15875399,0.326159596,0.300842359,-0.10764069,-2.001454211,14.75429371
08/1999,-0.625413932,-2.477926842,0.23995201,0.14718615,0.23820681,7.592662074
09/1999,-2.855173772,-0.355739025,0.478755236,-0.02385281,3.136078538,12.65810571
10/1999,6.253946722,-1.751042287,0.178677784,0.1967619,17.36798368,-4.129945923
11/1999,1.917926819,2.332642624,0.059453032,-0.078,-5.644953656,10.40250002
12/1999,5.772207304,1.275565301,0,0.24145455,-3.448393478,3.16365715
01/2000,-5.090352221,-0.209394092,0.297088532,0.38554545,0.441586887,1.179427311
02/2000,-2.010814222,2.799009629,0.592417062,-0.1415,5.465672482,7.735417582
03/2000,9.671989579,1.192670795,0.824499411,-0.26297826,-4.492096312,0.45135576
04/2000,-3.079582004,0.853360945,0.058411215,-0.26599542,-2.33946716,-13.55723411
05/2000,-2.191499762,4.051237439,0.116754232,0.44992823,-1.608924166,15.38773467
06/2000,2.39335492,-3.253649334,0.524781341,-0.34318182,3.830081035,8.77805732
07/2000,-1.63412622,0.819985292,0.232018561,-0.04327273,-1.448920309,-5.004585629
08/2000,6.069903483,2.660543971,0,-0.22791304,-2.528498881,5.885283893
09/2000,-5.348294766,2.846224249,0.520833333,-0.02708696,-0.287827449,8.105592473
10/2000,-0.494949565,1.505286154,0.172711572,-0.06042857,-1.344636071,-2.432369692
11/2000,-8.006856024,0.56052405,0.057471264,-0.02142857,-1.477777778,3.023644373
12/2000,0.405338606,-3.068584738,-0.057438254,-0.47664286,2.045035901,-22.35118867
01/2001,3.463659224,-2.513499883,0.632183908,-0.07954762,-2.195616136,2.528851803
02/2001,-9.229068601,1.486733039,0.399771559,-0.06200501,-1.363516517,5.672413394
03/2001,-6.420471958,1.703953138,0.227531286,-0.21349282,0.442967885,-7.82714746
04/2001,7.681435454,1.721636335,0.397275823,0.25554545,-0.969471163,2.46045256
05/2001,0.509019897,0.841786515,0.4522329,0.25036364,4.560810811,6.114102134
06/2001,-2.503543501,2.030668995,0.16882386,-0.10707793,-0.782053165,-1.386825101
07/2001,-1.07401297,-0.311623646,-0.280898876,-0.04809523,-0.999148873,-7.987780649
08/2001,-6.410838569,-3.36742118,0,-0.26488613,1.816618697,3.922994771
09/2001,-8.172338962,-1.042691474,0.450704225,-0.23953964,4.049341018,-1.903160521
10/2001,1.809902588,0.630767903,-0.336511497,-0.16494653,-0.12701997,-17.19373674
11/2001,7.517597992,1.630448904,-0.16882386,0.08468182,-2.437645729,-11.05530532
12/2001,0.757382948,0.135142018,-0.394588501,0.436,-0.112253766,-0.609674853
01/2002,-1.557382761,1.252342938,0.226372383,-0.05178571,2.051839768,3.846316429
02/2002,-2.076623606,1.288074906,0.395256917,-0.12413534,4.969628077,4.281231978
03/2002,3.673886133,-0.927719791,0.562429696,0.37242105,-0.487309645,18.19857956
04/2002,-6.141765224,-0.814994415,0.559284116,-0.07309091,2.931374549,7.068092794
05/2002,-0.908145452,-2.980671208,0,-0.04636364,3.901810493,0.819076264
06/2002,-7.246471878,-3.250347504,0.055617353,-0.23804545,2.127253649,-4.457191795
07/2002,-7.899495863,-3.606317954,0.111172874,-0.27331818,-2.456566411,4.830852347
08/2002,0.488141989,1.434189639,0.333148251,-0.39590909,-0.967155032,3.805536701
09/2002,-11.00243431,-0.159246042,0.166021029,-0.38727273,2.862115645,5.921183778
10/2002,8.646109312,0.31675361,0.165745856,0.07090909,-0.808422636,-3.092296933
11/2002,5.705770121,-1.717500211,0,0.10751196,0.792898661,-10.1929397
12/2002,-6.033258216,-1.295794297,-0.220628792,-0.0160401,4.027329426,13.43809379
01/2003,-2.741469846,-3.272083479,0.442233278,0.01619048,7.513557484,9.193863156
02/2003,-1.700362276,-1.053644563,0.770500826,-0.14593985,0.591550164,7.834197199
03/2003,0.835760566,-0.219030155,0.60076461,-0.09548872,-5.131348024,-7.966782664
04/2003,8.104411799,-0.214531777,-0.217155266,0.15142857,-3.632359419,-15.3535163
05/2003,5.089866073,-4.904617803,-0.163220892,-0.38952381,8.380461942,1.695295722
06/2003,1.132224286,-1.101202913,0.108991826,-0.23476191,0.188088832,7.290254299
07/2003,1.622370446,2.22987293,0.108873163,0.64116884,-1.496273348,2.41154086
08/2003,1.787319122,1.642589401,0.380641653,0.46978355,2.492165689,3.718271195
09/2003,-1.194432595,-1.156474894,0.325027086,-0.17095239,5.330379578,-9.40118335
10/2003,5.496149482,-4.126050709,-0.107991361,0.01616884,-0.006597263,7.751025617
11/2003,0.71285131,-0.126092863,-0.27027027,0.00954545,2.900348358,0.292474026
12/2003,5.076545077,-3.731266027,-0.108401084,-0.03227273,4.371008694,2.98784044
01/2004,1.727642276,-2.438644601,0.488334238,-0.11722727,1.679555133,4.743600908
02/2004,1.220902991,-0.139398748,0.539956803,-0.06628947,-2.153276557,0.170931075
03/2004,-1.635893584,2.504594974,0.644468314,-0.25768879,0.441861499,6.773366621
04/2004,-1.679082942,1.415151056,0.320170758,0.52109731,-0.837786199,0.962034166
05/2004,1.208344622,1.070789596,0.585106383,0.36788095,-4.830878342,10.7185632
06/2004,1.798907806,-1.612561099,0.317292438,0.01830952,2.239309603,-4.941824593
07/2004,-3.429052277,-1.007645256,-0.158144439,-0.23571428,1.457286816,6.453366162
08/2004,0.228733253,0.719276296,0.05279831,-0.2167316,0.60765001,10.37003945
09/2004,0.93639064,-0.250996833,0.211081794,-0.15564935,1.18973309,-0.488614076
10/2004,1.401424752,-1.925539365,0.526592944,-0.02871429,3.747825551,12.75138445
11/2004,3.859493895,-3.778883582,0.052383447,0.097,4.497650215,-10.00477632
12/2004,3.245812816,-2.469859892,-0.366492147,0.03690909,0.61541963,-7.572760615
01/2005,-2.529044821,1.669074249,0.21019443,-0.00940909,-4.08275444,10.31203662
02/2005,1.890338365,0.923260078,0.576822234,-0.05623684,-0.160366012,3.010219848
03/2005,-1.911764706,-1.095475797,0.782064651,0.33246411,2.480217314,15.0042367
04/2005,-2.010858977,1.730036363,0.672529747,-0.15677489,-1.064192693,-0.430699226
05/2005,2.99520249,1.516795238,-0.102774923,-0.19666667,-1.714686429,-5.535866733
06/2005,-0.01426773,3.340204649,0.051440329,-0.14610389,2.082143204,12.44912105
07/2005,3.59682036,1.49854738,0.462724936,0.17931818,-1.434552324,4.355402658
08/2005,-1.122202596,-1.924256232,0.511770727,0.0851087,3.168825784,9.712053782
09/2005,0.694894004,-0.079984339,1.221995927,-0.06356108,4.137190875,0.050738748
10/2005,-1.774074104,2.010056933,0.201207243,0.26445238,3.036961022,-5.9111955
11/2005,3.518612108,1.955393796,-0.803212851,0.0715,1.440312578,-5.548843748
12/2005,-0.09523962,-0.553297081,-0.4048583,-0.06785714,7.013506313,2.787670291
01/2006,2.546683864,-2.005141126,0.762195122,-0.05114286,7.795968218,10.15773311
02/2006,0.045309668,1.276345106,0.201714574,0.15294737,0.933139831,-3.914699483
03/2006,1.106460731,-0.334814951,0.55359839,0.15496567,0.378021424,2.45162498
04/2006,1.218692801,-1.581081357,0.850850851,0.26661328,9.61419368,11.11362247
05/2006,-3.091690129,-4.062410919,0.496277916,0.11947368,10.60176565,1.085027582
06/2006,0.008660804,0.957727572,0.197530864,-0.00363636,-11.73361287,-0.68454408
07/2006,0.508581326,0.097294017,0.295712173,-0.01886364,6.30131931,5.873336641
08/2006,2.127426253,-0.885381555,0.196560197,-0.21097826,-0.176263591,-0.974536057
09/2006,2.456627449,0.525034208,-0.490436488,-0.15752174,-5.439042165,-13.48865606
10/2006,3.15080286,0.995774876,-0.542138985,0.01004762,-2.073936869,-6.592239134
11/2006,1.646660958,-1.683811735,-0.148662042,-0.13380952,7.177950766,0.783013546
12/2006,1.261575148,-1.91104926,0.148883375,-0.0307381,0.31282503,4.199461556
01/2007,1.405908482,1.704930804,0.305252725,0.19502381,0.218326397,-11.81283807
02/2007,-2.184614529,-0.34855337,0.535036756,-0.03689223,5.320153494,7.445443474
03/2007,0.997995479,-1.090878937,0.910569585,-0.15808613,-1.481771205,5.08916042
04/2007,4.329068311,-1.549991024,0.649616269,0.12926407,3.736934929,7.479886224
05/2007,3.25492286,-0.175761971,0.611071867,0.05255412,-1.774884893,0.088910065
06/2007,-1.781630973,0.518220642,0.193797518,0.3564935,-1.745815288,4.390839002
07/2007,-3.198190707,-2.007671913,-0.025437721,-0.09857143,1.482475673,7.832114535
08/2007,1.286359232,0.142653744,-0.183390223,-0.3295031,0.004658992,-4.203164386
09/2007,3.579400132,-1.764062669,0.275590741,-0.15320366,7.099672233,8.910758513
10/2007,1.482233503,-2.08307798,0.213919133,0.00614832,5.88659558,7.18899849
11/2007,-4.404342382,-2.907472543,0.593961787,-0.37922727,6.843854525,11.20144997
12/2007,-0.862848887,1.437244942,-0.067086313,-0.051,-0.377675355,-1.612762167
01/2008,-6.11634749,-0.895800153,0.497057647,-0.35321429,10.75593592,1.018019026
02/2008,-3.476116209,-0.352680098,0.290411218,-0.00678571,3.676167245,2.883649968
03/2008,-0.595958305,-4.252935537,0.866821293,-0.2275,5.002287764,8.884726331
04/2008,4.754668481,-0.573973914,0.606477839,0.165,-6.064326531,6.947541963
05/2008,1.067415325,1.021227071,0.842088603,0.205,-2.31305753,13.0634754
06/2008,-8.596238164,0.493507063,1.007699693,0.21952381,0.092836092,7.063785379
07/2008,-0.9859375,-0.966550022,0.525101113,-0.09179654,5.653139784,0.689230623
08/2008,1.219050324,4.655328482,-0.399156226,-0.12201298,-10.72036622,-13.70871331
09/2008,-9.079145327,3.017517222,-0.138301854,-0.19952381,-1.083757933,-12.71905924
10/2008,-16.94245344,5.961379106,-1.010133328,0.12790043,-2.808904826,-27.94618892
11/2008,-7.484903226,4.321295311,-1.915289533,-0.28742424,-5.672683544,-26.04739655
12/2008,0.782156565,-3.556192244,-1.034247381,-1.11030303,7.258731204,-24.44069359
01/2009,-8.565734846,0.41389028,0.435241738,0.10113636,5.219754636,6.615448821
02/2009,-10.99312249,3.370320047,0.497293304,0.3525,9.818444375,-3.448614828
03/2009,8.540450829,0.083000691,0.243174846,-0.05045455,-1.985896076,12.23283521
04/2009,9.392507551,-1.483436708,0.249636828,0.10759741,-3.68646493,7.156118974
05/2009,5.308142666,-3.489874052,0.288876383,0.36585714,4.318692429,16.62783433
06/2009,0.019583524,-2.674863557,0.858989226,0.42881818,1.833316283,18.38946397
07/2009,7.414175695,-0.570201714,-0.158558692,-0.15954545,-1.209935813,-5.56543563
08/2009,3.356017337,-1.537762838,0.224285004,0.02487013,1.621338688,10.67468037
09/2009,3.572338383,-1.740121105,0.062548069,-0.1852381,4.973377222,-5.08522381
10/2009,-1.976198585,-1.37394672,0.096310119,-0.01428571,4.672729334,8.587460848
11/2009,5.736399695,-0.849261401,0.070775337,0.01501253,8.040672611,4.503878962
12/2009,1.777059774,1.691189024,-0.176119817,0.18736842,0.68214325,-3.421624932
01/2010,-3.69742624,1.469162148,0.341747357,0.14315789,-1.477099277,3.218765807
02/2010,2.851369346,3.111295191,0.024920738,-0.04210526,-2.017061388,-3.178095396
03/2010,5.879636755,0.570522348,0.410628354,0.03633867,1.636277824,6.689468009
04/2010,1.475932719,0.707882855,0.173688491,0.11942688,3.175229064,5.868082619
05/2010,-8.19759162,5.008882504,0.077519735,-0.42681818,4.940070759,-10.60680432
06/2010,-5.38823767,1.555506161,-0.097626708,-0.21590909,2.280174609,-0.563675421
07/2010,6.877783276,-3.738146032,0.021104306,-0.19266234,-3.240599552,-0.165373794
08/2010,-4.744916485,-1.506019177,0.138066428,-0.31279221,1.91489112,1.595928874
09/2010,8.755110404,-0.955688918,0.058173623,-0.05101731,4.537468848,0.42694837
10/2010,3.685594111,-4.638552966,0.124519889,-0.10761905,5.589951667,7.276147222
11/2010,-0.229028278,0.936977375,0.042064642,0.223,2.076117864,3.142949582
12/2010,6.5300072,2.422802769,0.171844079,0.52790909,1.508665685,6.769472169
01/2011,2.264559015,-1.145793247,0.476323005,0.10309091,-2.164103058,3.185778073
02/2011,3.195658259,-1.832257036,0.493136503,0.18231579,1.0452347,5.063221295
03/2011,-0.104730188,-1.862309637,0.975107203,-0.16196796,3.533913347,11.10652417
04/2011,2.849535763,-1.996683454,0.643942954,0.04065217,4.049154757,7.181070646
05/2011,-1.350092768,0.081079708,0.470418753,-0.28642857,2.139929367,-7.110637258
06/2011,-1.825750818,-0.261279988,-0.107096706,-0.1662987,1.109362811,-1.961885841
07/2011,-2.147443664,0.04237098,0.088604567,0.00072727,2.837134488,2.332077795
08/2011,-5.67910979,-0.636139283,0.27575889,-0.69995652,11.84295025,-7.346191944
09/2011,-7.176201298,3.424227792,0.151846212,-0.32780538,0.746442601,0.237917341
10/2011,10.77230383,0.691156395,-0.206268263,0.1767619,-5.965104337,-0.612520041
11/2011,-0.505864518,0.75484176,-0.084356133,-0.1385,4.354818384,4.860063945
12/2011,0.853275165,2.113384949,-0.246651638,-0.03540476,-5.694652099,-1.193117713
01/2012,4.358301527,1.0344798,0.440019143,-0.01159524,0.858552291,2.832062051
02/2012,4.058944994,-1.767730954,0.440297355,0.001,5.487742209,5.628241624
03/2012,3.133237655,0.725962893,0.759455862,0.20522727,-3.947112023,4.539565427
04/2012,-0.749749728,-0.082845704,0.30210295,-0.11987013,-1.596109669,-3.45024333
05/2012,-6.265067136,1.679655338,-0.117347937,-0.24967532,-3.647829251,-8.287612954
06/2012,3.955492128,1.828127447,-0.146639688,-0.18080087,0.611690077,-12.86875397
07/2012,1.259763904,0.905993349,-0.162978586,-0.09571428,-0.279591684,6.649697905
08/2012,1.976336166,-0.937358385,0.556515818,0.1515942,2.259312923,8.93557455
09/2012,2.423609038,-2.752263478,0.446221227,0.04489702,7.023204176,0.740412172
10/2012,-1.978940354,-0.262424662,-0.038892514,0.02303259,0.10144371,-2.939670338
11/2012,0.284670292,1.155668848,-0.473808669,-0.09219048,-1.427933447,-1.961778421
12/2012,0.706831053,-1.093571818,-0.269306449,0.065,-2.142027369,0.16176497
01/2013,5.042806358,0.156454497,0.295730419,0.1957619,-0.766528086,3.686160725
02/2013,1.106060303,0.688712205,0.819002953,0.06944863,-2.648436383,2.369703986
03/2013,3.59877994,2.669646821,0.261450858,-0.02671053,-2.118729733,-4.468598128
04/2013,1.808576399,-0.045568202,-0.103963948,-0.19840909,-6.605349941,-3.879009787
05/2013,2.076278348,0.693371078,0.178040777,0.16909091,-4.962190767,0.588960983
06/2013,-1.499932546,-1.517066663,0.239970809,0.37181818,-4.998275047,0.417196895
07/2013,4.946211121,1.193048356,0.039399753,0.28227273,-4.305233024,5.516039387
08/2013,-3.129801332,-1.675469445,0.120293156,0.155,5.151719926,2.699138778
09/2013,2.974947488,-0.221132914,0.116300449,0.07222727,-0.232427386,0.575202123
10/2013,4.459575986,-1.741085231,-0.257528326,-0.19359091,-2.374314104,-2.876607799
11/2013,2.804946087,1.148707995,-0.204242419,0.10251196,-3.092861809,-2.832532579
12/2013,2.35628333,-0.534232742,-0.00858115,0.18348371,-4.259722481,2.866880573
01/2014,-3.558289511,0.530867382,0.372024767,-0.04380952,1.863108755,-3.229907217
02/2014,4.311703757,-0.336126177,0.369790865,-0.14862156,4.44517669,2.655622396
03/2014,0.693215736,-0.825162879,0.644004413,0.01385965,2.808599701,-0.641999419
04/2014,0.620079686,0.04313273,0.329675445,-0.01809523,-2.816448117,0.709465398
05/2014,2.103028212,0.02668288,0.349260984,-0.14619048,-0.747814702,0.75021754
06/2014,1.905831345,0.679044007,0.186212694,0.03952381,-0.748017443,2.609343044
07/2014,-1.507986308,0.004364206,-0.039019396,-0.0562987,2.461887264,-2.848238971
08/2014,3.765532173,1.698418688,-0.167051417,-0.12227273,-1.179621392,-5.070524676
09/2014,-1.551385915,2.945747774,0.075256882,0.11428571,-4.523098067,-4.269543305
10/2014,2.320145618,1.641847677,-0.251227781,-0.2301948,-1.137034491,-10.1340484
11/2014,2.45335844,2.441642055,-0.539941794,0.02146465,-3.857700267,-10.57101581
12/2014,-0.418851206,1.492437072,-0.567010091,-0.11828283,2.151736108,-21.28802676
01/2015,-3.104084705,4.250741136,-0.470589237,-0.32577273,4.17534274,-21.38153027
02/2015,5.489250573,1.716699351,0.434304492,0.09376316,-1.892464521,15.42023512
03/2015,-1.739605607,3.503381003,0.595172161,0.06746411,-3.948397822,-3.882521248
04/2015,0.852076271,0.022004708,0.203287325,-0.10772727,1.722338647,8.83537935
05/2015,1.049143855,-2.599645419,0.509723203,0.2625,-0.025022312,8.759244257
06/2015,-2.101177286,0.133455292,0.350287,0.16613636,-1.429131592,-1.871835426
