date,stock,dollar,cpi,r,gold,oil
12/2016,1.820075404,2.390039386,0.032732139,0.34990476,-6.540154237,16.67943612
01/2017,1.788434137,-0.625253463,0.582772789,-0.05940476,3.001658948,1.651597207
02/2017,3.719826054,-0.72315751,0.314611739,-0.01355263,3.531582921,1.235269007
03/2017,-0.038923017,0.176899964,0.081279787,0.06279176,-0.225247124,-6.592632357
04/2017,0.90912169,-0.767514964,0.296553337,-0.18437071,2.87960241,3.049495569
05/2017,1.157621005,-1.712489097,0.085472183,0.00626794,-1.644986108,-4.843325501
06/2017,0.481383199,-1.316092475,0.090711101,-0.11681818,1.14121537,-7.245846215
07/2017,1.934876888,-2.033038604,-0.068992264,0.13118182,-1.85834669,3.184804107
08/2017,0.054649233,-1.971219799,0.29944523,-0.10886957,3.735325507,4.607469213
09/2017,1.930289483,-0.918735366,0.529490589,-0.00713043,2.418474872,5.970887617
10/2017,2.218817477,1.437222508,-0.06320421,0.158,-2.62999688,3.55987694
11/2017,2.808260137,0.398986318,0.002432469,-0.00666667,0.186790256,9.265461959
12/2017,0.983161982,-0.606355216,-0.058783228,0.04916667,-1.361260629,1.780450539
01/2018,5.617872465,-2.74643369,0.544774545,0.18130952,5.286883625,8.250927966
02/2018,-3.89473796,-1.375673627,0.453468997,0.27513785,-0.042815293,-4.002139966
03/2018,-2.688451377,0.262224947,0.22611259,-0.01656642,-0.456140615,1.618983251
04/2018,0.2718801,0.348658773,0.397509156,0.02666667,0.762459801,6.855141102
05/2018,2.160835332,3.425552363,0.415891693,0.10867965,-2.345740058,6.764681426
06/2018,0.48424002,1.167950549,0.15938757,-0.06534632,-1.678622118,-1.774649377
07/2018,3.602158647,0.231844192,0.006746326,-0.02333333,-3.422364756,0.959814305
08/2018,3.026321863,0.809222823,0.055554233,8.281E-05,-2.908597329,-2.145266486
09/2018,0.429430092,-0.600264395,0.116202518,0.1150801,-0.276272978,5.553402331
10/2018,-6.940335898,1.058894862,0.176676346,0.1480622,1.418569915,1.776850394
11/2018,1.78593818,1.01090805,-0.334934852,-0.03527273,0.432782893,-18.75665057
12/2018,-9.177695577,0.187416606,-0.319396282,-0.28436842,2.437226068,-13.12997259
01/2019,7.868440473,-1.004474452,0.190659667,-0.11882206,3.306941779,4.795925047
02/2019,2.972893014,0.517643878,0.422705314,-0.03749373,2.192374686,7.982499572
03/2019,1.792428775,0.276386148,0.564135836,-0.10536341,-1.452195717,4.423884297
04/2019,3.931343494,0.639682673,0.529500161,-0.03857143,-1.152279191,7.404350001
05/2019,-6.577772648,0.395477947,0.212875859,-0.13738095,-0.171862728,-3.145821927
06/2019,6.893018321,-0.860962687,0.019914718,-0.321,5.868972501,-10.51420793
07/2019,1.312819537,0.372023,0.167094162,-0.01490909,3.962355781,3.227052159
08/2019,-1.809165274,0.757579825,-0.005066824,-0.43272727,6.194395884,-6.288717943
09/2019,1.718116769,0.63393692,0.078344858,0.07313636,0.677814731,4.159758394
10/2019,2.043174748,-0.348509229,0.228619055,0.00731818,-1.043969866,-4.269560187
11/2019,3.404706409,-0.232548665,-0.053624303,0.10528708,-1.606893184,4.713463101
12/2019,2.858980318,-0.599568025,-0.090976953,0.05075188,0.567042202,5.030783916
01/2020,-0.162808981,-0.04404969,0.387976994,-0.10523809,5.512700033,-2.598326009
02/2020,-8.411046901,1.488959137,0.274061813,-0.25340852,2.334253878,-13.20410022
03/2020,-12.51193208,-0.14687745,-0.217645103,-0.63421053,-0.323711728,-39.64557092
04/2020,12.68441029,1.209299322,-0.668694187,-0.21238095,5.731407788,-27.65171974
05/2020,4.528177501,-0.264058864,0.001950162,0.01638095,1.945139231,33.97820423
06/2020,1.838840328,-2.51780146,0.547204693,0.05463636,0.950516053,27.11637734
07/2020,5.510129698,-1.416225579,0.50582435,-0.105,6.597891723,6.122881231
08/2020,7.006468732,-2.791025268,0.315321052,0.02636364,6.613557468,3.812674937
09/2020,-3.92279541,0.284582351,0.139274694,0.02952381,-2.372716051,-6.448483434
10/2020,-2.766577461,0.073342162,0.041493776,0.10761905,-1.126477689,-0.872118834
11/2020,10.75456581,-0.784795055,-0.061062722,0.08285714,-1.787640704,5.816880097
12/2020,3.712140666,-2.273200241,0.094147847,0.06363636,-0.422225794,14.08819189
01/2021,-1.113664016,-0.414490298,0.425378349,0.14741627,0.460606321,9.958639815
02/2021,2.609147497,0.472783357,0.547438279,0.17684211,-3.150006963,13.06358101
03/2021,4.243863401,1.441006647,0.708327313,0.35297483,-4.974089826,5.152012507
04/2021,5.242531256,-0.217899498,0.821890915,0.02413043,2.433318007,-1.138851104
05/2021,0.548650258,-1.469142812,0.801710515,-0.014,5.126019863,5.159986573
06/2021,2.221397632,0.630077611,0.92906629,-0.10190909,-0.847988931,8.158365433
07/2021,2.274810937,1.732751949,0.481052353,-0.20051948,-1.457017176,1.35905102
08/2021,2.899032139,0.281072769,0.206591136,-0.03538961,-1.247898044,-5.448775125
09/2021,-4.756914042,0.126155172,0.271597086,0.09158008,-0.567978132,5.719776579
10/2021,6.91438733,1.178532466,0.830811855,0.2077381,0.09633043,12.61121049
11/2021,-0.833373142,1.34085598,0.49134275,-0.023,2.527506542,-3.252579847
12/2021,4.361287497,0.995598235,0.307251716,-0.0945,-1.719765501,-8.093815445
01/2022,-5.258508911,-0.313118982,0.841457378,0.299,1.429265595,15.05628659
02/2022,-3.136052087,0.154548818,0.913397926,0.17021053,2.218037246,9.926274255
03/2022,3.577323877,2.454013164,1.335137955,0.19361556,4.930776275,18.39472116
04/2022,-8.795671915,2.115027412,0.558253103,0.61967391,-0.563190833,-5.337797551
05/2022,0.005324388,2.641276324,1.1023524,0.15059524,-4.562023068,6.044312338
06/2022,-8.391999322,0.578347257,1.373607576,0.24523809,-0.645388153,4.410371796
07/2022,9.111634763,3.0221275,-0.011811914,-0.24733333,-5.653473595,-10.67276299
08/2022,-4.244011922,0.135089621,-0.035439928,0.00182609,1.836397844,-6.654154563
09/2022,-9.339570164,3.284921463,0.215078451,0.62122153,-4.747925829,-7.761518931
10/2022,7.986345458,1.27373161,0.405649443,0.46445238,-0.971572722,2.821176681
11/2022,5.375286029,-3.18495884,-0.101002644,-0.0925,3.642043918,-4.630779921
12/2022,-5.89714493,-3.469394661,-0.307009146,-0.27480952,4.201568632,-9.503791468
01/2023,6.17528324,-1.775664256,0.799536383,-0.08469048,5.572028594,3.531642391
02/2023,-2.611244665,0.743815973,0.558211051,0.21534211,-2.274847053,-0.535763674
03/2023,3.505157236,0.32946954,0.331072996,-0.08379863,3.137705307,-4.57120625
04/2023,1.464236088,-1.986957432,0.505903868,-0.20304348,4.550563854,6.581615561
05/2023,0.248232393,0.83522232,0.251843501,0.11363636,-0.382043935,-9.696794831
06/2023,6.472751284,0.468867135,0.322891424,0.17445888,-2.471224267,-0.989440786
07/2023,3.113891398,-1.621399375,0.190751502,0.15140476,0.417931957,7.50418736
08/2023,-1.771643248,1.535869384,0.436715507,0.26832609,-1.656569384,6.824956444
09/2023,-4.871929116,2.057594487,0.248513155,0.21117391,-0.14332621,8.900734509
10/2023,-2.197968774,1.139403963,-0.038337952,0.41909524,0.015658029,-4.342426909
11/2023,8.917926463,-1.615565301,-0.201513955,-0.2952381,3.541291585,-7.903289867
12/2023,4.42291694,-1.778374392,-0.099332033,-0.48285714,2.12034615,-6.300559174
01/2024,1.589574471,0.095926601,0.54475038,0.03809524,0.3879221,2.450234394
