Date,Value
06/1990,3210800
07/1990,3224500
08/1990,3238700
09/1990,3249000
10/1990,3253700
11/1990,3265300
12/1990,3285100
01/1991,3289300
02/1991,3296300
03/1991,3327300
04/1991,3349500
05/1991,3330300
06/1991,3349700
07/1991,3354400
08/1991,3351400
09/1991,3347600
10/1991,3353800
11/1991,3371200
12/1991,3386400
01/1992,3383200
02/1992,3390100
03/1992,3404800
04/1992,3418900
05/1992,3388000
06/1992,3388700
07/1992,3393200
08/1992,3396500
09/1992,3401200
10/1992,3418700
11/1992,3433400
12/1992,3441300
01/1993,3423600
02/1993,3400700
03/1993,3410500
04/1993,3430400
05/1993,3425000
06/1993,3439500
07/1993,3442600
08/1993,3440900
09/1993,3443500
10/1993,3452700
11/1993,3474700
12/1993,3495100
01/1994,3480100
02/1994,3459700
03/1994,3477200
04/1994,3503100
05/1994,3474500
06/1994,3477400
07/1994,3491500
08/1994,3481600
09/1994,3476800
10/1994,3478200
11/1994,3491800
12/1994,3507800
01/1995,3495300
02/1995,3474900
03/1995,3491700
04/1995,3522400
05/1995,3506700
06/1995,3545500
07/1995,3569700
08/1995,3585200
09/1995,3594600
10/1995,3602300
11/1995,3622900
12/1995,3653300
01/1996,3651300
02/1996,3647500
03/1996,3694000
04/1996,3720600
05/1996,3690100
06/1996,3721000
07/1996,3734100
08/1996,3741600
09/1996,3744200
10/1996,3758700
11/1996,3797200
12/1996,3839800
01/1997,3839500
02/1997,3835100
03/1997,3873200
04/1997,3905700
05/1997,3869400
06/1997,3899500
07/1997,3918500
08/1997,3953200
09/1997,3961500
10/1997,3977200
11/1997,4015800
12/1997,4055100
01/1998,4062500
02/1998,4080100
03/1998,4131700
04/1998,4174600
05/1998,4144000
06/1998,4174600
07/1998,4193200
08/1998,4220300
09/1998,4254400
10/1998,4291400
11/1998,4345900
12/1998,4399600
01/1999,4409500
02/1999,4418700
03/1999,4455600
04/1999,4501400
05/1999,4464100
06/1999,4494700
07/1999,4519600
08/1999,4539400
09/1999,4553100
10/1999,4574800
11/1999,4610200
12/1999,4664500
01/2000,4672600
02/2000,4674400
03/2000,4736000
04/2000,4806100
05/2000,4732300
06/2000,4757700
07/2000,4773900
08/2000,4804400
09/2000,4840000
10/2000,4853900
11/2000,4882000
12/2000,4953000
01/2001,4979000
02/2001,5008000
03/2001,5098300
04/2001,5174100
05/2001,5111200
06/2001,5160600
07/2001,5189200
08/2001,5225000
09/2001,5336600
10/2001,5321700
11/2001,5384700
12/2001,5465000
01/2002,5451000
02/2002,5470400
03/2002,5519200
04/2002,5533400
05/2002,5499800
06/2002,5537800
07/2002,5578700
08/2002,5621700
09/2002,5646500
10/2002,5685300
