Date,Value
12/2014,55.7
01/2015,53.9
02/2015,53
03/2015,52.1
04/2015,51.9
05/2015,52.9
06/2015,52.5
07/2015,52
08/2015,50.2
09/2015,50.1
10/2015,49.1
11/2015,49.1
12/2015,48.7
01/2016,47.6
02/2016,49.2
03/2016,51
04/2016,51.3
05/2016,51.4
06/2016,52.2
07/2016,52.7
08/2016,49.8
09/2016,51.1
10/2016,51.8
11/2016,53.2
12/2016,54.4
01/2017,55.7
02/2017,57.7
03/2017,56.5
04/2017,55.8
05/2017,56.4
06/2017,56.2
07/2017,56.5
08/2017,58.4
09/2017,60
10/2017,58.6
11/2017,57.6
12/2017,59.7
01/2018,59.4
02/2018,60.9
03/2018,58.8
04/2018,58.6
05/2018,59
06/2018,59.9
07/2018,58.1
08/2018,60.5
09/2018,59.3
10/2018,58.1
11/2018,58.6
12/2018,54.9
01/2019,55.7
02/2019,54.4
03/2019,54.9
04/2019,53.6
05/2019,52.6
06/2019,51.5
07/2019,51
08/2019,48.5
09/2019,48.1
10/2019,48.1
11/2019,48.1
12/2019,47.9
01/2020,51.4
02/2020,50.1
03/2020,49
04/2020,41.8
05/2020,43.5
06/2020,52.6
07/2020,53.8
08/2020,55.4
09/2020,55.5
10/2020,58.7
11/2020,57.3
12/2020,60.2
01/2021,59.2
02/2021,60.7
03/2021,64
04/2021,60.9
05/2021,61.7
06/2021,61.4
07/2021,60
08/2021,59.6
09/2021,60.5
10/2021,60.5
11/2021,60.7
12/2021,58.3
01/2022,57.4
02/2022,58.3
03/2022,57.3
04/2022,55.6
05/2022,56.1
06/2022,53.4
07/2022,52.8
08/2022,52.8
09/2022,50.8
10/2022,50
11/2022,48.9
12/2022,48.1
01/2023,47.4
02/2023,47.7
03/2023,46.5
04/2023,47
05/2023,46.6
06/2023,46.4
07/2023,46.5
08/2023,47.6
09/2023,48.6
10/2023,46.9
11/2023,46.6
12/2023,47.1
01/2024,49.1
